NAME|ROOM|IP|OS|OS version|CATEGORY|OWNER|AUTHORITY|BARCODE|DESCRIPTION|SPARE1|SERIAL NUMBER|HOSTID|HOST STATUS|INVENTORY STATUS|FIREWALL|TRUSTLEVEL|RACKINFO|POWER UP|SUPPORT TEAM|COMMENTS
anzac|ATH220|129.128.16.198|MacOS|10.8|regular|dept|dept|586221|iMac 21.5 A1418||C02JXRD6DNCR||CLEAN|spare|OK|||5||
arcadia||129.128.23.204||||||||||||retired||||5||Surplused
ard1|CSC323|129.128.184.76|Linux|Ubuntu 10.04 LTS (stand alone)|wildwest||stroulia|474596|P4/2.8GHz-2048 Dell OptiPlex GX270||8J05S41||NA|active||||5||Arduino Lab
ard2|CSC323|129.128.184.77|Linux|Ubuntu 10.04 LTS (stand alone)|wildwest||stroulia|474248|P4/2.8GHz-2048 Dell OptiPlex GX270||JV05S41||NA|active||||5||Arduino Lab
ardmore||129.128.4.81||||||||||||retired||||5||
ardrossan|CSC205|129.128.23.77|Linux|WPS Ubuntu 16.04|regular|zaiane|zaiane||Core i7-7700||F484HH2||CLEAN|active|OK|||5||
armena|ATH420|129.128.4.154|MacOS|10.6.4|regular|mesquita|Denilson||MacPro Xeon/2.66G-4096||G873022GUPZ||CLEAN|active|OK|||5||
aspasia|ATH450|129.128.184.45|Windows|7|regular|serranos|stroulia||Q9550/2.83GHz-4096||ACS07025||NOP|active||||5||Moving to NAT
astotin|ATH207||MacOS|10.12|regular|dept|dept|586219|iMac 21.5 A1418||C02JXRFKDNCR||CLEAN|active|OK|||5||Loaned to Resul Das. On UWS.
atari|ATH338|129.128.23.138|||unknown|bulitko|bulitko||Xbox 360||||NOP|active||||5||
ath224-cpy|ATH224|129.128.23.61|||printer|ath224-cpy|tst||Xerox WorkCentre 5755||XEH488891||CLEAN|active||||5||Printer
ath234-clr|ATH234|129.128.23.11|||printer|ath234-clr|tst|||||||||||||
ath245-cpy|ATH245|129.128.23.62|||printer|ath245-cpy|tst||Xerox WorkCentre 5755||XEH488917||CLEAN|active||||5||Printer
ath326-cpy|ATH326|129.128.4.130|||printer|ath326-cpy|tst||Xerox WorkCentre 5755||XEH583587N||CLEAN|active||||5||Printer
ath427-cpy|ATH427|129.128.4.43|||printer|ath427-cpy|tst||Xerox WorkCentre 5755||XEH583557N||CLEAN|active||||5||Printer
athlone|ATH220|129.128.16.195|MacOS|10.8|regular|dept|dept|586223|iMac 21.5 A1418||C02JXFLQDNCR||CLEAN|spare|OK|||5||
atikameg|ATH243|129.128.16.163|Windows|XP Pro|regular||dept|||||||||||||
atlee|ATH335|129.128.23.46|MacOS|10.1|regular|dept|sadaf|586218|iMac 21.5 A1418||C02JXRAUDNCR||CLEAN|active|OK|||5||Munki Installed.
atmore|CSC137|129.128.184.13|Linux|CentOS 6.7|regular||steve||||||NOP|active||||5||
audet-lk|CSC351|129.128.25.122|MacOS|10.8|regular|zhang|||iMac 27 Model A1419||C02K82X3DNCV||CLEAN|active||||5||
aurora|CSC329|129.128.22.49|Linux|WPS Ubuntu 16.04|regular||zhang||Xeon/X5687x2-148842||||CLEAN|active|||E|5|SRIT|
badden||129.128.23.221||||||||||||retired||||5||
baranow||129.128.23.15||||||||||||retired||||5||
barich|CSC225|129.128.23.197|Windows|10|regular||lin|||||||||||||
barnegat|CSC327|129.128.25.138|Linux|Scientific 5.1 (Boron)|regular||dwishart||Q6600/2.4GHz-3072||PTS860X034802099802700||DIRTY|missing||||5||Users cannot find
barrhead|ATH419|129.128.4.39|MacOS|10.6.4|regular|wfb|wfb||||||CLEAN|active|OK|||5||
battle-riv|CSC225|129.128.184.24|Windows|7|regular||nrossol|||||||||||||
baytree|CSC363A?|129.128.25.161|Windows|2000 Pro|regular||wfb|411819|PIII||CPS04592||NOP|missing||||5||On NAT
bbw-grid1|CSC363A|129.128.25.191|||network|BBW|pierreb||Switch||125-000-5413??||CLEAN|active||||5||Switch
bbw-grid2|CSC361|129.128.25.192|||network|BBW|pierreb||Switch||683-592-8117||CLEAN|active||||5||Switch
bbw-grid3|CSC361|129.128.25.193|||network|BBW|pierreb||Switch||265-875-8772||CLEAN|active||||5||Switch
bbw-grid4|CSC363A|129.128.25.194|||network|BBW|pierreb||Switch||serial??||CLEAN|active||||5||Switch
bbw-grid5|CSC363A|129.128.25.195|||network|BBW|pierreb||Switch||serial??||CLEAN|active||||5||Switch
bellis|CSC205|129.128.23.142|Linux|WPS Ubuntu 16.04|regular|zaiane|zaiane|no-tag|Dell Vostro 430 i7/860/2.8-8192||9CQNPL1||CLEAN|spare||||5||
bentley|CSC311|129.128.25.162|Linux|WPS Ubuntu 16.04|regular||ghlin||E6850/3GHz-4096||FQQ18G1||CLEAN|active||||5||
berwyn|cs353ptr|129.128.25.165|||alias|jag?|jag||Dell-1720dn||4F4F8D1||CLEAN|ipalias||||5||Printer - CUPS printer vis
bezanson|CSC357|129.128.184.78|Linux|Ubuntu 10.04 LTS (stand alone)|wildwest|yifeng|paullu|||||||||||||
bi-print-8620|CSC327|129.128.25.7|||printer||aguo||HP OfficeJet Pro 8620||CN559FK1DS||CLEAN|active|OK|||5||
bickerdike|CSC311|129.128.25.163|Linux|WPS Ubuntu 16.04|regular||ghlin||Acer Aspire AM3970-EB12P i7-2500@3.40GHz-8192||PTSHAP201715004BC49201||CLEAN|active||||5||
bighorn|CSC353|129.128.25.96|Linux|Fedora 13|regular|zichen2|jag|444197|Xeon X350qc-4096||serial-no||CLEAN|active||||5||Fedora 13 - different root password
bioqa|CSC327|129.128.184.61|||unknown|cknox||||||||||||||
bitumount|CSC351|129.128.25.104|Linux|Ubuntu 12.04|regular||mpolak|||||||||||||
blackfoot|CSC217|129.128.184.6|Linux|Ubuntu 16.04|regular|cgao3|hayward||i77700-32768||ACS0538||NOP|active||||5||Stuphen built
blogs-dev|launch-dev|129.128.22.149|Linux|Slackware 12.2.0|alias|dept|tst||||||CLEAN|retired||||5||
bmiserver|ATH123|129.128.184.20|Windows||regular||ziqi2|588738|Intel Core i7 3770||4130400037|||active||||5||We do not manage or maintain
bodo1|ATH337?|129.128.4.119|Linux|Fedora 7 (Moonshine)|regular||mburo||MB-AMD/MP2400-1024||serial||DIRTY|missing||||5||
boian|ATH419|129.128.184.44|||unknown|wfb|wfb||EeeBoxEB1006-1024||90PEAB009974||NOP|active||||5||On wildwest
bonanza|CSC329|129.128.22.18|Linux|WPS Ubuntu 16.04|regular|dept|tst|no-tag|Dell PowerEdge 815 Opteron/6134-98304||4X7S5P1||CLEAN|active|||F|5|SA1|eth0 uses NIC 2 with MAC f0:4d:a2:3c:4c:4e because idrac uses NIC 1 with MAC f0:4d:a2:3c:4c:4c
bondiss|CSC353|129.128.25.52|Linux|Fedora 13|regular|zichen2|jag|448715|AMD Opt170/2GHz-1926||ACS03808||NOP|active||||5||Fedora 13 - different root password
bonnyville|CSC311|129.128.25.70|Linux|WPS Ubuntu 16.04|regular||ghlin||Dell Optiplex 755 E6850/3GHz-4096||GQQ18G1||CLEAN|active||||5||
bon-accord|CSC327|129.128.25.80|Windows|10|regular||dwishart||Dell Vostro 460 i5-2400@3.1GHz-8192||8DN3DP1||CLEAN|active||||5||
botha1|CSC251A|129.128.184.7|Linux|CentOS 5.5|regular||paullu||PE2950/5150-8192||636ZMF1||NOP|active||||5||on wildwest;
botha1|CSC329||Linux|RHEL WS 3 (Taroon Update 2)|regular||paullu|474740|Sun V20z Opteron/DP248-2048||XG043057933||NA|missing|||E|5||Powered off; Steve will move and cluster
botha10|CSC251A|129.128.22.140|Linux|Fedora Core 6 (Zod)|unknown||paullu|508544|PE2950/5150-8192||HKK9QC1||CLEAN|active|OK|||5||Steve handled
bowden|CSC211|nat|Linux|openSUSE 13.2|regular||bulitko|586216|i7-950@3|||||||||||
bowhay|CSC211|129.128.23.29|Linux|Ubuntu 14.04|regular|bowling|bowling|524807|AMD/DC4800-2048||14011622P||CLEAN|retired||||5||being surplussed
boyne|CSC211|129.128.23.27|Linux|Ubuntu 14.04|regular||bulitko|586254|i5-4670@3.4 8196||14195708p||NOP|active|OK|||5||standalone on NAT
braeburn-uws-nat|CSC205||||||hasell|||||||||||||
braeburn|CSC205|129.128.23.12|Windows|7|regular||hasell|||||||||||||
brazeau|CSC329|129.128.4.13|Linux|WPS Ubuntu 16.04|regular||jonathan||Opteron/248-2048||KP-2L607||CLEAN|active|||B|5|SRIT|
bremmer||129.128.23.117||||||||||||retired||||5||
breton||129.128.25.14|Windows|XP - 64 bit|regular||pierreb||X5560-12288||9368144-51775||NA|missing||||5||Missing? last reported in CSC365
breynat|CSC311|129.128.25.170|Linux|Scientific 5.0 (Boron)|regular||ghlin|||||||||||||
brownfield||129.128.25.106||||||||||||retired||||5||
brule|CSC329|129.128.23.114|Linux|RHEL Server 5.11|regular||paullu|497707|Opteron/244-2048||ACS05264||CLEAN|active||T|F|5|SRIT|RHN# 1017919347
bucklake|CSC353|129.128.25.128|Linux|Ubuntu 14|regular|zichen2|jag||Core2-quad/2.4-4096||2209159||CLEAN|active||||5||
busby3|CSC251A|129.128.22.33|Linux|Ubuntu 12.04|regular||paullu|||||||||||||
busby4|CSC251A|129.128.22.34|Linux|Ubuntu 12.04|regular||paullu|||||||||||||
busby9|CSC251A|129.128.22.141|Linux|Fedora Core 6 (Zod)|unknown||paullu|||||||||||||
cadogan||129.128.23.220||||||||||||retired||||5||
cadotte|GSB175|129.128.21.241|Linux|WPS Ubuntu 16.04|regular||bulitko||Opteron/DP246-6144||ACS04728||CLEAN|active|||F14|5|SA1|
calmar|ATH452|129.128.23.13|Windows|7|regular|guana|stroulia||Dell 8100 i5/3.2-8122||B2J5LM1||NOP|active|OK|||5||
calumet-lk|CSC351|129.128.25.120|MacOS|10.8|regular||rmaiti||iMac 27 Model A1419||C02K8A7KDNCV||CLEAN|active||||5||
cambria||129.128.23.145||||||||||||retired||||5||
caneta|ATH451|129.128.4.23|MacOS|10.11.3|regular|denilson|denilson||Quad-Core Intel Xeon E5 - 32GB||F5KR407RF9VN|||active||||5||
carcajou|ATH232|129.128.184.55|MacOS|10.5|regular||dept|221067|Mac 6100/66||XC4502D741Y||CLEAN|active||||5||administered by Facilities
card|CSC205||Linux|Ubuntu 14.04|regular||hasell|||||||||||||
carvel||129.128.23.151||||||||||||retired||||5||
ccis|CSC329|129.128.22.30|Linux|Fedora Core 5|regular||steve||||||DIRTY|missing|||F|5||Steve will handle; powered off; will be rebuilt or moved to subnet 159
charcot|CSC329|129.128.184.50||||||||||||active|||C|||one of Sutphen's?
chard|CSC315A|129.128.25.100|Windows|7|regular||||Athlon 64 Dual 4400+/2.2GHz-4096||ACS05774|||active||||5||Hot Spare
chauvin|CSC329|129.128.184.91|Linux|Ubuntu 12.04|regular|gkondrak|gkondrak|469353|Xeon E5-1650v2-32768||ACS04596||NOP|active|||D|5||
checkmylab|IST VM|129.128.21.208|Linux|Ubuntu 16.04|virtual|||NA|VM||||CLEAN|active||||5|SA1|CMPUT 401 project astep-ish
checkmylabtest|IST VM|129.128.21.209|Linux|Ubuntu 16.04|virtual|||NA|VM||||CLEAN|active||||5|SA1|CMPUT 401 project astep-ish submission testing
cherhill|CSC311|129.128.4.55|Linux|Ubuntu 10.04 LTS|regular|ghlin|ghlin|468224|AMD MP2400-2048||ACS04305||CLEAN|missing||||5||
chinook-c01|CSC329||||cluster||steve||||||NOP|missing|||B|5||Steve to check
chinook-c02|CSC329||||cluster||steve||||||NOP|missing|||B|5||Steve to check
chinook-c03|CSC329||||cluster||steve||||||NOP|missing|||B|5||Steve to check
chinook-c04|CSC329||||cluster||steve||||||NOP|missing|||B|5||Steve to check
chinook|CSC329|129.128.23.85|Linux|Red Hat 7.1 (Seawolf)|cluster||jonathan|438787|AMD/1.5GD-2048||ACS03085||CLEAN|active|OK||B|5|SRIT|Steve will handle
chiplk|nojack|129.128.28.250|Linux|openSUSE 13.1|alias|dept|tst||||||CLEAN|retired||T||5||chiplk interface on nojack now on IST VLAN to serve files to CS Windows machines
chipman||129.128.25.119||||||||||||retired||||5||
chirp|CSC301|129.128.25.37|Linux|Ubuntu 14|regular||jag||Dual/4096||||CLEAN|active|OK|||5||
chisholm||129.128.23.82||||||||||||retired||||5||
cims-bw|CSC351|129.128.25.93|||printer|cs351|mpolak|||||||||||||
cline28|cline|129.128.28.248|Linux|Slackware 12.2.0|alias|dept|tst||||||CLEAN|retired||||5|SA1|
cline|GSB175|129.128.21.10|Linux|Slackware 12.2.0|regular|dept|tst|543323|Opteron/2350-4096||SM42230||CLEAN|active|||F17|5|SA1|TST managed server
clive||129.128.25.148||||||||||||retired||||5||
cmpt497-nat||129.128.41.251|||regular||tst||||||NA|retired||||5||no machine in room
coldlake|CSC251A|129.128.184.54|||unknown|steve|paullu||||||NOP|active||||5||
coleco|ATH338|129.128.23.137|||unknown|bulitko|bulitko||PlayStation 3||||NOP|active||||5||
cons1|CSC139|129.128.41.226|Linux|WPS Ubuntu 14.04|regular|dept|tst|512139|Dell OptiPlex 745||3K6TPC1||CLEAN|active||T||5|SA1|standalone
cons2|CSC231|129.128.23.229|Linux|WPS Ubuntu 14.04|regular|dept|tst|512412|Dell OptiPlex 745||2G6TPC1||CLEAN|active||T||5|SA1|standalone
cons3|CSC329|129.128.25.238|Linux|WPS Ubuntu 14.04|regular|dept|tst|512132|Dell OptiPlex 745||696TPC1||CLEAN|active||T||5|SA1|standalone
cons4|CAB311A|129.128.22.55|Linux|WPS Ubuntu 14.04|regular|dept|tst|512133|Dell OptiPlex 745||6D6TPC1||CLEAN|active||T||5|SA1|standalone
console|GSB175|129.128.21.15|Linux|RHEL Server 5.11|regular|dept|tst|510095|Dell PE 2950(2)||H1LYYC1||CLEAN|active||T|F17|5|SA1|RHN# 1018085679
consort|GSB175|129.128.243.69|Linux|Slackware 12.2.0|regular|dept|tst|510056|Dell PE 2950||GK491C1||CLEAN|active|||F17|5|WPS|web server for c391
coronado|CSC327|129.128.25.115|Windows|10|regular||dwishart||Dell Vostro 460 i5-2400@3.1GHz-8192||8DN4DP1||CLEAN|active||||5||
coronation|ECHA|129.128.21.210|Linux|WPS Ubuntu 16.04|regular|dept|tst|no-tag|Dell R7425||BXLG1T2||CLEAN|active|||P3R3|5|SA1|TST managed server
crescer|ATH437|129.128.184.27|||wildwest||stroulia||Dell OptiPlex 360||J9WN5J1||NOP|active||||5||Do not reinstall if it stays on the wildwest - OTRS 103913
crestomere||129.128.25.114||||||||||||retired||||5||RHN# 1017917148
cross-lake|GSB175|129.128.243.169|Linux|CentOS 6|regular|hoehn|joerg|||||||||||||
cs147ptr|CSC147|129.128.25.110|||printer|cs147|wfb|543286|HP P3005dn||SCNG1X09522||CLEAN|active||||5||Printer
cs259ptr||129.128.23.125||||||||||||retired||||5||
cs353ptr|CSC353|129.128.25.165|||printer|jag?|jag||Dell-1720dn||4F4F8D1||CLEAN|active||||5||Printer
cs363ptr|CSC363|129.128.184.52|||printer||wfb||HP LJ2055dn||CNB9085905||CLEAN|active||||5||AMMI printer on Wild West
csc105-w01|CSC105|129.128.235.151|Windows|7|regular|dept|tst||Dell OptiPlex 755||33JQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w02|CSC105|129.128.235.152|Windows|7|regular|dept|tst||Dell OptiPlex 755||34JQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w03|CSC105|129.128.235.153|Windows|7|regular|dept|tst||Dell OptiPlex 755||HCKQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w04|CSC105|129.128.235.154|Windows|7|regular|dept|tst||Dell OptiPlex 755||2CKQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w05|CSC105|129.128.235.155|Windows|7|regular|dept|tst||Dell OptiPlex 755||BDKQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w06|CSC105|129.128.235.156|Windows|7|regular|dept|tst||Dell OptiPlex 755||76JQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w07|CSC105|129.128.235.157|Windows|7|regular|dept|tst||Dell OptiPlex 755||4DKQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w08|CSC105|129.128.235.158|Windows|7|regular|dept|tst||Dell OptiPlex 755||95JQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w09|CSC105|129.128.235.159|Windows|7|regular|dept|tst||Dell OptiPlex 755||G3JQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w10|CSC105|129.128.235.160|Windows|7|regular|dept|tst||Dell OptiPlex 755||F4JQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w11|CSC105|129.128.235.161|Windows|7|regular|dept|tst||Dell OptiPlex 755||55JQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w12|CSC105|129.128.235.99|Windows|7|regular|dept|tst||Dell OptiPlex 755||GCKQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w13|CSC105|129.128.235.163|Windows|7|regular|dept|tst||Dell OptiPlex 755||F5JQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w14|CSC105|129.128.235.164|Windows|7|regular|dept|tst||Dell OptiPlex 755||FCKQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w15|CSC105|129.128.235.165|Windows|7|regular|dept|tst||Dell OptiPlex 755||HDKQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w16|CSC105|129.128.235.98|Windows|7|regular|dept|tst||Dell OptiPlex 755||FDKQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w17|CSC105|129.128.235.167|Windows|7|regular|dept|tst||Dell OptiPlex 755||46JQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w18|CSC105|129.128.235.168|Windows|7|regular|dept|tst||Dell OptiPlex 755||5CKQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w19|CSC105|129.128.235.169|Windows|7|regular|dept|tst||Dell OptiPlex 755||5DKQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w20|CSC105|129.128.235.170|Windows|7|regular|dept|tst||Dell OptiPlex 755||CDKQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w21|CSC105|129.128.235.171|Windows|7|regular|dept|tst||Dell OptiPlex 755||54JQXF1||CLEAN|retired||||5|WPS|UGrad
csc105-w22|CSC105|129.128.235.172|Windows|7|regular|dept|tst||Dell OptiPlex 755||94JQXF1||CLEAN|retired||||5|WPS|UGrad
csc167-in1|CSC167|129.128.235.150|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMYQ||CLEAN|active||||5|WPS|UGrad
csc167-w01|CSC167|129.128.235.130|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMY5||CLEAN|active||||5|WPS|UGrad
csc167-w02|CSC167|129.128.235.131|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMY1||CLEAN|active||||5|WPS|UGrad
csc167-w03|CSC167|129.128.235.132|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMY6||CLEAN|active||||5|WPS|UGrad
csc167-w04|CSC167|129.128.235.133|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMXZ||CLEAN|active||||5|WPS|UGrad
csc167-w05|CSC167|129.128.235.134|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMY0||CLEAN|active||||5|WPS|UGrad
csc167-w06|CSC167|129.128.235.135|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMZG||CLEAN|active||||5|WPS|UGrad
csc167-w07|CSC167|129.128.235.136|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMZ6||CLEAN|active||||5|WPS|UGrad
csc167-w08|CSC167|129.128.235.137|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMZK||CLEAN|active||||5|WPS|UGrad
csc167-w09|CSC167|129.128.235.138|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMYN||CLEAN|active||||5|WPS|UGrad
csc167-w10|CSC167|129.128.235.139|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMY2||CLEAN|active||||5|WPS|UGrad
csc167-w11|CSC167|129.128.235.140|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMZF||CLEAN|active||||5|WPS|UGrad
csc167-w12|CSC167|129.128.235.141|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMZ5||CLEAN|active||||5|WPS|UGrad
csc167-w13|CSC167|129.128.235.142|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMZH||CLEAN|active||||5|WPS|UGrad
csc167-w14|CSC167|129.128.235.143|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMZJ||CLEAN|active||||5|WPS|UGrad
csc167-w15|CSC167|129.128.235.144|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMYR||CLEAN|active||||5|WPS|UGrad
csc167-w16|CSC167|129.128.235.145|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMYK||CLEAN|active||||5|WPS|UGrad
csc167-w17|CSC167|129.128.235.146|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMZ0||CLEAN|active||||5|WPS|UGrad
csc167-w18|CSC167|129.128.235.147|Windows|8.1|regular|dept|tst||Lenovo ThinkCentre M93p||MG00FMYJ||CLEAN|active||||5|WPS|UGrad
