1 NAME|3 IP||4 OS, 5 OS version|6 CATEGORY|2 ROOM|18 RACKINFO|12 SERIAL NUMBER|9 BARCODE||7 OWNER|8 AUTHORITY|14 HOST STATUS|10 DESCRIPTION: Machine Company| Processor| RAM| HDD||
ammi-tr-ag|129.128.25.196||, |regular|CSC363?||37452|474201|||pierreb|NOP||Intel Q9400 @ 3GHz|2|||
amundson|129.128.184.72||Linux, Ubuntu 14.04|regular|CSC205||RC371KKN31151400274||||greiner|NOP|Cooler Master Custom PC|||||
ana|129.128.184.140||Linux, Ubuntu 14.04|regular|ATH430||5NTPWH1|no-tag|||mn,yannis|NOP||Intel Core2 E8400 @ 3.0GHz|4|||
andrew|129.128.23.213||MacOS, 10.5.8|regular|ATH315||W86330D3WRQ|493097|||sutton,balaski|CLEAN|Apple iMac| @ 1.83GHz|1|||
anton-lake|129.128.23.208||Linux, Scientific 4.4 (Beryllium)|regular|CSC205||ACS04178|456682|||hasell,zaiane|DIRTY||AMD XP3000|2|||
anzac|129.128.16.198||MacOS, 10.8|regular|ATH220||C02JXRD6DNCR|586221||dept|dept|CLEAN|Apple iMac 21.5" A1418|||||
arcadia|129.128.23.204||, |||||||||||||||
ard1|129.128.184.76||Linux, Ubuntu 10.04 LTS (stand alone)|wildwest|CSC323||8J05S41|474596|||stroulia|NA|Dell OptiPlex GX270|Intel Pentium 4 @ 2.8GHz|2|||
ard2|129.128.184.77||Linux, Ubuntu 10.04 LTS (stand alone)|wildwest|CSC323||JV05S41|474248|||stroulia|NA|Dell OptiPlex GX270|Intel Pentium 4 @ 2.8GHz|2|||
ardmore|129.128.4.81||, |||||||||||||||
ardrossan|129.128.23.77||Linux, WPS Ubuntu 16.04|regular|CSC205||F484HH2|||zaiane|zaiane|CLEAN||Intel Core i7 7700||||
armena|129.128.4.154||MacOS, 10.6.4|regular|ATH420||G873022GUPZ|||mesquita|Denilson|CLEAN|Apple MacPro|Xeon @ 2.66GHz|4|||
aspasia|129.128.184.45||Windows, 7|regular|ATH450||ACS07025|||serranos|stroulia|NOP||Inte lQ9550 @ 2.83GHz|4|||
astotin|||MacOS, 10.12|regular|ATH207||C02JXRFKDNCR|586219||dept|dept|CLEAN|Apple iMac 21.5" A1418|||||
atari|129.128.23.138||, |unknown|ATH338|||||bulitko|bulitko|NOP|Microsoft Xbox 360|||||
ath224-cpy|129.128.23.61||, |printer|ATH224||XEH488891|||ath224-cpy|tst|CLEAN|Xerox|WorkCentre 5755||||
ath234-clr|129.128.23.11||, |printer|ATH234||CNTCH33614|||ath234-clr|tst,dept|CLEAN|HP|Color Laserjet 3600dn|128MB|||
ath245-cpy|129.128.23.62||, |printer|ATH245||XEH488917|||ath245-cpy|tst|CLEAN|Xerox|WorkCentre 5755||||
ath326-cpy|129.128.4.130||, |printer|ATH326||XEH583587N|||ath326-cpy|tst|CLEAN|Xerox|WorkCentre 5755||||
ath427-cpy|129.128.4.43||, |printer|ATH427||XEH583557N|||ath427-cpy|tst|CLEAN|Xerox|WorkCentre 5755||||
athlone|129.128.16.195||MacOS, 10.8|regular|ATH220||C02JXFLQDNCR|586223||dept|dept|CLEAN|Apple|iMac 21.5" A1418||||
atikameg|129.128.16.163||Windows, XP Pro|regular|ATH243||ACS04836|528141|||dept,sunrose|CLEAN|Dell OptiPlex 755|Intel Core2 @ 2.66GHz|2|||
atlee|129.128.23.46||MacOS, 10.1|regular|ATH335||C02JXRAUDNCR|586218||dept|sadaf|CLEAN|Apple|iMac 21.5" A1418||||
atmore|129.128.184.13||Linux, CentOS 6.7|regular|CSC137||||||steve|NOP||||||
audet-lk|129.128.25.122||MacOS, 10.8|regular|CSC351||C02K82X3DNCV|||zhang||CLEAN|Apple|iMac 27" A1419||||
aurora|129.128.22.49||Linux, WPS Ubuntu 16.04|regular|CSC329|E|||||zhang|CLEAN||Intel Xeon X5687 x2|148|||
badden|129.128.23.221||, |||||||||||||||
baranow|129.128.23.15||, |||||||||||||||
barich|129.128.23.197||Windows, 10|regular|CSC225||JD7VW52|361515|||lin,anup|CLEAN||Intel i7 4790 @ 3.6GHz|16|||
barnegat|129.128.25.138||Linux, Scientific 5.1 (Boron)|regular|CSC327||PTS860X034802099802700||||dwishart|DIRTY||Intel Q6600 @ 2.4GHz|3|||
barrhead|129.128.4.39||MacOS, 10.6.4|regular|ATH419|||||wfb|wfb|CLEAN||||||
battle-riv|129.128.184.24||Windows, 7|regular|CSC225||BB0418|586182|||nrossol,anup|CLEAN||Intel Quad Core i7 @ 3.4GHz|8|||
baytree|129.128.25.161||Windows, 2000 Pro|regular|CSC363A?||CPS04592|411819|||wfb|NOP||Intel Pentium III||||
bbw-grid1|129.128.25.191||, |network|CSC363A||125-000-5413??|||BBW|pierreb|CLEAN||||||
bbw-grid2|129.128.25.192||, |network|CSC361||683-592-8117|||BBW|pierreb|CLEAN||||||
bbw-grid3|129.128.25.193||, |network|CSC361||265-875-8772|||BBW|pierreb|CLEAN||||||
bbw-grid4|129.128.25.194||, |network|CSC363A||serial??|||BBW|pierreb|CLEAN||||||
bbw-grid5|129.128.25.195||, |network|CSC363A||serial??|||BBW|pierreb|CLEAN||||||
bellis|129.128.23.142||Linux, WPS Ubuntu 16.04|regular|CSC205||9CQNPL1|no-tag||zaiane|zaiane|CLEAN|Dell Vostro 430|Intel i7 860 @ 2.8GHz|8|||
bentley|129.128.25.162||Linux, WPS Ubuntu 16.04|regular|CSC311||FQQ18G1||||ghlin|CLEAN||Intel Core2 Duo E6850 @ 3.0GHz|4|||
berwyn|129.128.25.165||, |alias|cs353ptr||4F4F8D1|||jag?|jag|CLEAN|Dell|1720dn||||
bezanson|129.128.184.78||Linux, Ubuntu 10.04 LTS (stand alone)|wildwest|CSC357||3QCGLS1|||yifeng|paullu,ghlin|NOP|Dell XPS 8300|Intel i7 2600 @ 3.4GHz|12|||
bi-print-8620|129.128.25.7||, |printer|CSC327||CN559FK1DS||||aguo|CLEAN|HP|OfficeJet Pro 8620||||
bickerdike|129.128.25.163||Linux, WPS Ubuntu 16.04|regular|CSC311||PTSHAP201715004BC49201||||ghlin|CLEAN|Acer Aspire AM3970-EB12P|Intel i7 2500 @ 3.40GHz|8|||
bighorn|129.128.25.96||Linux, Fedora 13|regular|CSC353||serial-no|444197||zichen2|jag|CLEAN|Xeon|X350qc|4|||
bioqa|129.128.184.61||, |unknown|CSC327|||||cknox,apon,jgrant2|dwishart|NOP||||||
bitumount|129.128.25.104||Linux, Ubuntu 12.04|regular|CSC351||0ACS05466|512157|||mpolak,zhang|CLEAN||Intel Pentium4 @ 3.4GHz|1|||
blackfoot|129.128.184.6||Linux, Ubuntu 16.04|regular|CSC217||ACS0538|||cgao3|hayward|NOP||Intel i7 7700|32|||
blogs-dev|129.128.22.149||Linux, Slackware 12.2.0|alias|launch-dev|||||dept|tst|CLEAN||||||
bmiserver|129.128.184.20||Windows, |regular|ATH123||4130400037|588738|||ziqi2|||Intel i7 3770||||
bodo1|129.128.4.119||Linux, Fedora 7 (Moonshine)|regular|ATH337?||serial||||mburo|DIRTY||AMD MP2400|1|||
boian|129.128.184.44||, |unknown|ATH419||90PEAB009974|||wfb|wfb|NOP|Asus EeeBoxEB 1006||1|||
bonanza|129.128.22.18||Linux, WPS Ubuntu 16.04|regular|CSC329|F|4X7S5P1|no-tag||dept|tst|CLEAN|Dell PowerEdge 815|AMD Opteron 6134|98|||
bondiss|129.128.25.52||Linux, Fedora 13|regular|CSC353||ACS03808|448715||zichen2|jag|NOP||AMD Opteron 170 @ 2GHz|2|||
bonnyville|129.128.25.70||Linux, WPS Ubuntu 16.04|regular|CSC311||GQQ18G1||||ghlin|CLEAN|Dell Optiplex 755|Intel Core2 Duo E6850 @ 3GHz|4|||
bon-accord|129.128.25.80||Windows, 10|regular|CSC327||8DN3DP1||||dwishart|CLEAN|Dell Vostro 460|Intel i5 2400 @ 3.1GHz|8|||
botha1|129.128.184.7||Linux, CentOS 5.5|regular|CSC251A||636ZMF1||||paullu|NOP|Dell PowerEdge 2950|Xeon 5150|8|||
botha1|||Linux, RHEL WS 3 (Taroon Update 2)|regular|CSC329|E|XG043057933|474740|||paullu|NA|Sun V20z|AMD Opteron DP248|2|||
botha10|129.128.22.140||Linux, Fedora Core 6 (Zod)|unknown|CSC251A||HKK9QC1|508544|||paullu|CLEAN|DellPowerEdge 2950|Xeon 5150|8|||
bowden|nat||Linux, openSUSE 13.2|regular|CSC211|||586216|||bulitko|CLEAN||Intel i7 950 @ 3.7GHz|6|||
bowhay|129.128.23.29||Linux, Ubuntu 14.04|regular|CSC211||14011622P|524807||bowling|bowling|CLEAN||AMD DC4800|2|||
boyne|129.128.23.27||Linux, Ubuntu 14.04|regular|CSC211||14195708p|586254|||bulitko|NOP||Intel i5 4670 @ 3.4GHz|8|||
braeburn-uws-nat|||, ||CSC205||9CPTOL1|no-tag|||hasell,zaiane|NOP||||||
braeburn|129.128.23.12||Windows, 7|regular|CSC205||9CPSPL1||||hasell,zaiane|CLEAN|Dell Vostro 430|Intel i7 860 @ 2.8GHz|4|||
brazeau|129.128.4.13||Linux, WPS Ubuntu 16.04|regular|CSC329|B|KP-2L607||||jonathan|CLEAN||AMD Opteron 248|2|||
bremmer|129.128.23.117||, |||||||||||||||
breton|129.128.25.14||Windows, XP - 64 bit|regular|||9368144-51775||||pierreb|NA||Xeon X5560|12|||
breynat|129.128.25.170||Linux, Scientific 5.0 (Boron)|regular|CSC311||PTSC..1235D2701||||ghlin,paullu|NOP|Acer QC8200| @ 2.33GHz|8|||
brownfield|129.128.25.106||, |||||||||||||||
brule|129.128.23.114||Linux, RHEL Server 5.11|regular|CSC329|F|ACS05264|497707|||paullu|CLEAN||AMD Opteron 244|2|||
bucklake|129.128.25.128||Linux, Ubuntu 14|regular|CSC353||2209159|||zichen2|jag|CLEAN||Intel Core2 Quad @ 2.4GHz|4|||
busby3|129.128.22.33||Linux, Ubuntu 12.04|regular|CSC251A||ACS05761|510063|||paullu,dwishart|CLEAN||AMD Opteron DP250|4|||
busby4|129.128.22.34||Linux, Ubuntu 12.04|regular|CSC251A||ACS05764|510064|||paullu,dwishart|CLEAN||AMD Opteron DP250|4|||
busby9|129.128.22.141||Linux, Fedora Core 6 (Zod)|unknown|CSC251A||serial-no|508557|||paullu,dwishart|CLEAN||Xeon 5160|8|||
cadogan|129.128.23.220||, |||||||||||||||
cadotte|129.128.21.241||Linux, WPS Ubuntu 16.04|regular|GSB175|F14|ACS04728||||bulitko|CLEAN||AMD Opteron DP246|6|||
calmar|129.128.23.13||Windows, 7|regular|ATH452||B2J5LM1|||guana|stroulia|NOP|Dell 8100|Intel i5 @ 3.2GHz|8|||
calumet-lk|129.128.25.120||MacOS, 10.8|regular|CSC351||C02K8A7KDNCV||||rmaiti|CLEAN|Apple iMac 27" A1419|||||
cambria|129.128.23.145||, |||||||||||||||
caneta|129.128.4.23||MacOS, 10.11.3|regular|ATH451||F5KR407RF9VN|||denilson|denilson|||Xeon Quad-Core E5|32|||
carcajou|129.128.184.55||MacOS, 10.5|regular|ATH232||XC4502D741Y|221067|||dept|CLEAN|Apple Power Macintosh 6100| @ 66MHz||||
card|||Linux, Ubuntu 14.04|regular|CSC205||8FS5WK1|543292|||hasell,zaiane|NOP|Dell D540| Intel Core2 Quad Q9400 @ 2.66 GHz|8|||
carvel|129.128.23.151||, |||||||||||||||
ccis|129.128.22.30||Linux, Fedora Core 5|regular|CSC329|F|||||steve|DIRTY||||||
charcot|129.128.184.50||, ||CSC329|C||||||||||||
chard|129.128.25.100||Windows, 7|regular|CSC315A||ACS05774|||||||AMD Athlon 64 Dual 4400+ @ 2.2GHz|4|||
chauvin|129.128.184.91||Linux, Ubuntu 12.04|regular|CSC329|D|ACS04596|469353||gkondrak|gkondrak|NOP||Xeon E5 1650v2|32|||
checkmylab|129.128.21.208||Linux, Ubuntu 16.04|virtual|IST VM|||NA||||CLEAN||||||
checkmylabtest|129.128.21.209||Linux, Ubuntu 16.04|virtual|IST VM|||NA||||CLEAN||||||
cherhill|129.128.4.55||Linux, Ubuntu 10.04 LTS|regular|CSC311||ACS04305|468224||ghlin|ghlin|CLEAN||AMD MP2400|2|||
chinook-c01|||, |cluster|CSC329|B|||||steve|NOP||||||
chinook-c02|||, |cluster|CSC329|B|||||steve|NOP||||||
chinook-c03|||, |cluster|CSC329|B|||||steve|NOP||||||
chinook-c04|||, |cluster|CSC329|B|||||steve|NOP||||||
chinook|129.128.23.85||Linux, Red Hat 7.1 (Seawolf)|cluster|CSC329|B|ACS03085|438787|||jonathan|CLEAN||AMD 1.5GD|2|||
chiplk|129.128.28.250||Linux, openSUSE 13.1|alias|nojack|||||dept|tst|CLEAN||||||
chipman|129.128.25.119||, |||||||||||||||
chirp|129.128.25.37||Linux, Ubuntu 14|regular|CSC301||||||jag|CLEAN||Intel Dual|4|||
chisholm|129.128.23.82||, |||||||||||||||
cims-bw|129.128.25.93||, |printer|CSC351||PHGFD37605|||cs351|mpolak,zhang|CLEAN|HP|LaserJet Pro 400 M401dne||||
cline28|129.128.28.248||Linux, Slackware 12.2.0|alias|cline|||||dept|tst|CLEAN||||||
cline|129.128.21.10||Linux, Slackware 12.2.0|regular|GSB175|F17|SM42230|543323||dept|tst|CLEAN||AMD Opteron 2350|4|||
clive|129.128.25.148||, |||||||||||||||
cmpt497-nat|129.128.41.251||, |regular|||||||tst|NA||||||
coldlake|129.128.184.54||, |unknown|CSC251A|||||steve|paullu|NOP||||||
coleco|129.128.23.137||, |unknown|ATH338|||||bulitko|bulitko|NOP|Sony PlayStation 3|||||
cons1|129.128.41.226||Linux, WPS Ubuntu 14.04|regular|CSC139||3K6TPC1|512139||dept|tst|CLEAN|Dell OptiPlex 745|||||
cons2|129.128.23.229||Linux, WPS Ubuntu 14.04|regular|CSC231||2G6TPC1|512412||dept|tst|CLEAN|Dell OptiPlex 745|||||
cons3|129.128.25.238||Linux, WPS Ubuntu 14.04|regular|CSC329||696TPC1|512132||dept|tst|CLEAN|Dell OptiPlex 745|||||
cons4|129.128.22.55||Linux, WPS Ubuntu 14.04|regular|CAB311A||6D6TPC1|512133||dept|tst|CLEAN|Dell OptiPlex 745|||||
console|129.128.21.15||Linux, RHEL Server 5.11|regular|GSB175|F17|H1LYYC1|510095||dept|tst|CLEAN|Dell PowerEdge 2950(2)|||||
consort|129.128.243.69||Linux, Slackware 12.2.0|regular|GSB175|F17|GK491C1|510056||dept|tst|CLEAN|Dell PowerEdge 2950|||||
coronado|129.128.25.115||Windows, 10|regular|CSC327||8DN4DP1||||dwishart|CLEAN|Dell Vostro 460|Intel i5-2400 @ 3.1GHz|8|||
coronation|129.128.21.210||Linux, WPS Ubuntu 16.04|regular|ECHA|P3R3|BXLG1T2|no-tag||dept|tst|CLEAN||||||
crescer|129.128.184.27||, |wildwest|ATH437||J9WN5J1||||stroulia|NOP|Dell R7425|||||
crestomere|129.128.25.114||, ||||||||||Dell OptiPlex 360|||||
cross-lake|129.128.243.169||Linux, CentOS 6|regular|GSB175|F18|SM68390|586892||hoehn|joerg,steve|CLEAN|Rackform iServ R485 Storform D55J.v2|||||
cs147ptr|129.128.25.110||, |printer|CSC147||SCNG1X09522|543286||cs147|wfb|CLEAN|HP|P3005dn||||
cs259ptr|129.128.23.125||, |||||||||||||||
cs353ptr|129.128.25.165||, |printer|CSC353||4F4F8D1|||jag?|jag|CLEAN|Dell|1720dn||||
cs363ptr|129.128.184.52||, |printer|CSC363||CNB9085905||||wfb|CLEAN|HP|LJ2055dn||||
csc105-w01|129.128.235.151||Windows, 7|regular|CSC105||33JQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w02|129.128.235.152||Windows, 7|regular|CSC105||34JQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w03|129.128.235.153||Windows, 7|regular|CSC105||HCKQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w04|129.128.235.154||Windows, 7|regular|CSC105||2CKQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w05|129.128.235.155||Windows, 7|regular|CSC105||BDKQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w06|129.128.235.156||Windows, 7|regular|CSC105||76JQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w07|129.128.235.157||Windows, 7|regular|CSC105||4DKQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w08|129.128.235.158||Windows, 7|regular|CSC105||95JQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w09|129.128.235.159||Windows, 7|regular|CSC105||G3JQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w10|129.128.235.160||Windows, 7|regular|CSC105||F4JQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w11|129.128.235.161||Windows, 7|regular|CSC105||55JQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w12|129.128.235.99||Windows, 7|regular|CSC105||GCKQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w13|129.128.235.163||Windows, 7|regular|CSC105||F5JQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w14|129.128.235.164||Windows, 7|regular|CSC105||FCKQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w15|129.128.235.165||Windows, 7|regular|CSC105||HDKQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w16|129.128.235.98||Windows, 7|regular|CSC105||FDKQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w17|129.128.235.167||Windows, 7|regular|CSC105||46JQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w18|129.128.235.168||Windows, 7|regular|CSC105||5CKQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w19|129.128.235.169||Windows, 7|regular|CSC105||5DKQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w20|129.128.235.170||Windows, 7|regular|CSC105||CDKQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w21|129.128.235.171||Windows, 7|regular|CSC105||54JQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc105-w22|129.128.235.172||Windows, 7|regular|CSC105||94JQXF1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
csc167-in1|129.128.235.150||Windows, 8.1|regular|CSC167||MG00FMYQ|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w01|129.128.235.130||Windows, 8.1|regular|CSC167||MG00FMY5|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w02|129.128.235.131||Windows, 8.1|regular|CSC167||MG00FMY1|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w03|129.128.235.132||Windows, 8.1|regular|CSC167||MG00FMY6|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w04|129.128.235.133||Windows, 8.1|regular|CSC167||MG00FMXZ|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w05|129.128.235.134||Windows, 8.1|regular|CSC167||MG00FMY0|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w06|129.128.235.135||Windows, 8.1|regular|CSC167||MG00FMZG|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w07|129.128.235.136||Windows, 8.1|regular|CSC167||MG00FMZ6|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w08|129.128.235.137||Windows, 8.1|regular|CSC167||MG00FMZK|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w09|129.128.235.138||Windows, 8.1|regular|CSC167||MG00FMYN|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w10|129.128.235.139||Windows, 8.1|regular|CSC167||MG00FMY2|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w11|129.128.235.140||Windows, 8.1|regular|CSC167||MG00FMZF|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w12|129.128.235.141||Windows, 8.1|regular|CSC167||MG00FMZ5|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w13|129.128.235.142||Windows, 8.1|regular|CSC167||MG00FMZH|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w14|129.128.235.143||Windows, 8.1|regular|CSC167||MG00FMZJ|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w15|129.128.235.144||Windows, 8.1|regular|CSC167||MG00FMYR|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w16|129.128.235.145||Windows, 8.1|regular|CSC167||MG00FMYK|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w17|129.128.235.146||Windows, 8.1|regular|CSC167||MG00FMZ0|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w18|129.128.235.147||Windows, 8.1|regular|CSC167||MG00FMYJ|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w19|129.128.235.148||Windows, 8.1|regular|CSC167||MG00FMYG|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc167-w20|129.128.235.149||Windows, 8.1|regular|CSC167||MG00FMZD|||dept|tst|CLEAN|Lenovo ThinkCentre M93p|||||
csc228-cpy|129.128.23.64||, |printer|CSC228||XEH767329|||cs228-cpy|tst|CLEAN|Xerox|WorkCentre 5755||||
